person_age,person_age_cleaned,person_income,person_income_cleaned,person_home_ownership,person_emp_length,person_emp_length_cleaned,loan_intent,loan_grade,loan_amnt,loan_amnt_cleaned,loan_int_rate,loan_status,loan_percent_income,loan_percent_income_cleaned,cb_person_default_on_file,cb_person_cred_hist_length
22,22.0,59000,59000,RENT,123.0,,PERSONAL,D,35000,23000,16.02,1,0.59,0.5932,Y,3
21,21.0,9600,9600,OWN,5.0,5.0,EDUCATION,B,1000,1000,11.14,0,0.1,0.1042,N,2
25,25.0,9600,9600,MORTGAGE,1.0,1.0,MEDICAL,C,5500,5500,12.87,1,0.57,0.5729,N,3
23,23.0,65500,65500,RENT,4.0,4.0,MEDICAL,C,35000,23000,15.23,1,0.53,0.5344,N,2
24,24.0,54400,54400,RENT,8.0,8.0,MEDICAL,C,35000,23000,14.27,1,0.55,0.6434,Y,4
21,21.0,9900,9900,OWN,2.0,2.0,VENTURE,A,2500,2500,7.14,1,0.25,0.2525,N,2
26,26.0,77100,77100,RENT,8.0,8.0,EDUCATION,B,35000,23000,12.42,1,0.45,0.454,N,3
24,24.0,78956,78956,RENT,5.0,5.0,MEDICAL,B,35000,23000,11.11,1,0.44,0.4433,N,4
24,24.0,83000,83000,RENT,8.0,8.0,PERSONAL,A,35000,23000,8.9,1,0.42,0.4217,N,2
21,21.0,10000,10000,OWN,6.0,6.0,VENTURE,D,1600,1600,14.74,1,0.16,0.16,N,3
22,22.0,85000,85000,RENT,6.0,6.0,VENTURE,B,35000,23000,10.37,1,0.41,0.4118,N,4
21,21.0,10000,10000,OWN,2.0,2.0,HOMEIMPROVEMENT,A,4500,4500,8.63,1,0.45,0.45,N,2
23,23.0,95000,95000,RENT,2.0,2.0,VENTURE,A,35000,23000,7.9,1,0.37,0.3684,N,2
26,26.0,108160,108160,RENT,4.0,4.0,EDUCATION,E,35000,23000,18.39,1,0.32,0.3236,N,4
23,23.0,115000,115000,RENT,2.0,2.0,EDUCATION,A,35000,23000,7.9,0,0.3,0.3043,N,4
23,23.0,500000,140250,MORTGAGE,7.0,7.0,DEBTCONSOLIDATION,B,30000,23000,10.65,0,0.06,0.06,N,3
23,23.0,120000,120000,RENT,0.0,0.0,EDUCATION,A,35000,23000,7.9,0,0.29,0.2917,N,4
23,23.0,92111,92111,RENT,7.0,7.0,MEDICAL,F,35000,23000,20.25,1,0.32,0.38,N,4
23,23.0,113000,113000,RENT,8.0,8.0,DEBTCONSOLIDATION,D,35000,23000,18.25,1,0.31,0.3097,N,4
24,24.0,10800,10800,MORTGAGE,8.0,8.0,EDUCATION,B,1750,1750,10.99,1,0.16,0.162,N,2
25,25.0,162500,140250,RENT,2.0,2.0,VENTURE,A,35000,23000,7.49,0,0.22,0.2154,N,4
25,25.0,137000,137000,RENT,9.0,9.0,PERSONAL,E,34800,23000,16.77,0,0.25,0.254,Y,2
22,22.0,65000,65000,RENT,4.0,4.0,EDUCATION,D,34000,23000,17.58,1,0.52,0.5231,N,4
24,24.0,10980,10980,OWN,0.0,0.0,PERSONAL,A,1500,1500,7.29,0,0.14,0.1366,N,3
22,22.0,80000,80000,RENT,3.0,3.0,PERSONAL,D,33950,23000,14.54,1,0.42,0.4244,Y,4
24,24.0,67746,67746,RENT,8.0,8.0,HOMEIMPROVEMENT,C,33000,23000,12.68,1,0.49,0.4871,N,3
21,21.0,11000,11000,MORTGAGE,3.0,3.0,VENTURE,E,4575,4575,17.74,1,0.42,0.4159,Y,3
23,23.0,11000,11000,OWN,0.0,0.0,PERSONAL,A,1400,1400,9.32,0,0.13,0.1273,N,3
24,24.0,65000,65000,RENT,6.0,6.0,HOMEIMPROVEMENT,B,32500,23000,9.99,1,0.5,0.5,N,3
21,21.0,11389,11389,OTHER,5.0,5.0,EDUCATION,C,4000,4000,12.84,1,0.35,0.3512,Y,2
21,21.0,11520,11520,OWN,5.0,5.0,MEDICAL,B,2000,2000,11.12,1,0.17,0.1736,N,3
25,25.0,120000,120000,RENT,2.0,2.0,VENTURE,A,32000,23000,6.62,0,0.27,0.2667,N,2
26,26.0,95000,95000,RENT,7.0,7.0,HOMEIMPROVEMENT,C,31050,23000,14.17,1,0.33,0.3268,Y,3
25,25.0,306000,140250,RENT,2.0,2.0,DEBTCONSOLIDATION,C,24250,23000,13.85,0,0.08,0.0792,N,3
26,26.0,300000,140250,MORTGAGE,10.0,10.0,MEDICAL,C,7800,7800,13.49,0,0.03,0.026,N,4
21,21.0,12000,12000,OWN,5.0,5.0,EDUCATION,A,2500,2500,7.51,1,0.21,0.2083,N,4
22,22.0,48000,48000,RENT,1.0,1.0,EDUCATION,E,30000,23000,18.39,1,0.63,0.625,N,2
24,24.0,64000,64000,RENT,8.0,8.0,DEBTCONSOLIDATION,D,30000,23000,14.54,1,0.47,0.4688,Y,3
25,25.0,75000,75000,RENT,4.0,4.0,HOMEIMPROVEMENT,D,30000,23000,16.89,1,0.4,0.4,Y,4
23,23.0,71500,71500,RENT,3.0,3.0,DEBTCONSOLIDATION,D,30000,23000,,1,0.42,0.4196,N,4
26,26.0,62050,62050,RENT,6.0,6.0,MEDICAL,E,30000,23000,17.99,1,0.41,0.4835,N,2
24,24.0,12000,12000,OWN,4.0,4.0,VENTURE,B,2500,2500,12.69,1,0.21,0.2083,N,3
26,26.0,300000,140250,MORTGAGE,10.0,10.0,VENTURE,A,20000,20000,7.88,0,0.07,0.0667,N,4
23,23.0,300000,140250,OWN,1.0,1.0,EDUCATION,F,24250,23000,19.41,0,0.08,0.0808,Y,2
26,26.0,300000,140250,OWN,9.0,9.0,HOMEIMPROVEMENT,B,10000,10000,10.38,0,0.03,0.0333,N,4
